time,data
2018-1-1,4.7767
2018-1-2,4.9907
2018-1-3,4.942
2018-1-4,4.6895
2018-1-5,5.09
2018-1-6,4.6894
2018-1-7,4.6547
2018-1-8,4.8151
2018-1-9,5.0202
2018-1-10,4.9087
2018-1-11,4.6396
2018-1-12,4.4881
2018-1-13,4.5409
2018-1-14,4.505
2018-1-15,4.3717
2018-1-16,4.5665
2018-1-17,4.2179
2018-1-18,3.9909
2018-1-19,4.0718
2018-1-20,4.0691
2018-1-21,4.2921
2018-1-22,3.823
2018-1-23,4.0934
2018-1-24,3.914
2018-1-25,3.7342
2018-1-26,4.0472
2018-1-27,4.3473
2018-1-28,4.3782
2018-1-29,4.1973
2018-1-30,3.1322
2018-1-31,2.8655
2018-2-1,3.6207
2018-2-2,3.3527
2018-2-3,3.3604
2018-2-4,2.7683
2018-2-5,2.7489
2018-2-6,3.3129
2018-2-7,3.9332
2018-2-8,3.7398
2018-2-9,2.4606
2018-2-10,2.2402
2018-2-11,2.9668
2018-2-12,2.7273
2018-2-13,3.2899
2018-2-14,3.6719
2018-2-15,3.6438
2018-2-16,3.6283
2018-2-17,3.9104
2018-2-18,3.8154
2018-2-19,3.6526
2018-2-20,3.6653
2018-2-21,3.8948
2018-2-22,3.6103
2018-2-23,3.832
2018-2-24,4.2036
2018-2-25,3.7385
2018-2-26,3.955
2018-2-27,3.9449
2018-2-28,4.2293
2018-3-1,4.3909
2018-3-2,4.4049
2018-3-3,4.5678
2018-3-4,4.4855
2018-3-5,4.5537
2018-3-6,4.6126
2018-3-7,4.5715
2018-3-8,4.4973
2018-3-9,4.7971
2018-3-10,4.4613
2018-3-11,4.6933
2018-3-12,4.1743
2018-3-13,4.3998
2018-3-14,4.1792
2018-3-15,4.0448
2018-3-16,4.4614
2018-3-17,4.0846
2018-3-18,4.4384
2018-3-19,4.4729
2018-3-20,3.982
2018-3-21,4.2792
2018-3-22,4.7343
2018-3-23,4.8944
2018-3-24,4.5831
2018-3-25,4.6498
2018-3-26,4.605
2018-3-27,4.6728
2018-3-28,4.5844
2018-3-29,4.7816
2018-3-30,4.0473
2018-3-31,4.0126
2018-4-1,4.4729
2018-4-2,4.8766
2018-4-3,5.0971
2018-4-4,5.0368
2018-4-5,5.279
2018-4-6,5.0712
2018-4-7,4.9637
2018-4-8,5.0752
2018-4-9,4.8665
2018-4-10,4.7355
2018-4-11,4.9034
2018-4-12,4.9792
2018-4-13,5.3225
2018-4-14,5.1932
2018-4-15,5.1791
2018-4-16,5.2176
2018-4-17,5.0162
2018-4-18,5.0752
2018-4-19,5.1508
2018-4-20,5.4007
2018-4-21,5.206
2018-4-22,5.4148
2018-4-23,5.5226
2018-4-24,5.5187
2018-4-25,5.3278
2018-4-26,5.2137
2018-4-27,5.0946
2018-4-28,4.8111
2018-4-29,4.6281
2018-4-30,4.3422
2018-5-1,4.6291
2018-5-2,4.6742
2018-5-3,4.4266
2018-5-4,4.4344
2018-5-5,4.3498
2018-5-6,4.2446
2018-5-7,4.3435
2018-5-8,3.9307
2018-5-9,3.7448
2018-5-10,3.768
2018-5-11,3.9782
2018-5-12,3.8601
2018-5-13,3.9436
2018-5-14,3.6896
2018-5-15,3.8947
2018-5-16,3.6423
2018-5-17,3.6859
2018-5-18,3.7307
2018-5-19,4.0025
2018-5-20,4.1191
2018-5-21,4.2294
2018-5-22,4.1832
2018-5-23,3.9833
2018-5-24,3.9819
2018-5-25,3.7322
2018-5-26,3.5489
2018-5-27,3.2694
2018-5-28,2.3631
2018-5-29,2.7259
2018-5-30,2.6657
2018-5-31,2.7823
2018-6-1,2.981
2018-6-2,3.4514
2018-6-3,3.7013
2018-6-4,3.6783
2018-6-5,3.7271
2018-6-6,3.4628
2018-6-7,3.372
2018-6-8,3.641
2018-6-9,3.9421
2018-6-10,3.8641
2018-6-11,3.8089
2018-6-12,3.5347
2018-6-13,3.6487
2018-6-14,3.5526
2018-6-15,3.4513
2018-6-16,3.3848
2018-6-17,3.5527
2018-6-18,3.6436
2018-6-19,3.8846
2018-6-20,3.9513
2018-6-21,4.0871
2018-6-22,3.8616
2018-6-23,3.5666
2018-6-24,3.559
2018-6-25,3.0425
2018-6-26,3.4259
2018-6-27,3.6642
2018-6-28,3.6961
2018-6-29,3.8769
2018-6-30,4.3038
2018-7-1,3.9616
2018-7-2,3.7207
2018-7-3,3.8357
2018-7-4,4.2128
2018-7-5,4.3805
2018-7-6,4.2846
2018-7-7,4.4513
2018-7-8,3.9806
2018-7-9,4.2922
2018-7-10,4.6216
2018-7-11,4.3589
2018-7-12,5.1649
2018-7-13,4.883
2018-7-14,3.9127
2018-7-15,4.1679
2018-7-16,4.7676
2018-7-17,5.038
2018-7-18,5.3073
2018-7-19,4.7857
2018-7-20,4.5741
2018-7-21,4.2679
2018-7-22,5.0881
2018-7-23,4.7805
2018-7-24,4.6382
2018-7-25,4.6767
2018-7-26,4.7472
2018-7-27,4.8509
2018-7-28,4.779
2018-7-29,4.7535
2018-7-30,4.8702
2018-7-31,4.7985
2018-8-1,4.6139
2018-8-2,4.5716
2018-8-3,4.4394
2018-8-4,4.4293
2018-8-5,4.282
2018-8-6,4.2922
2018-8-7,4.5537
2018-8-8,4.1139
2018-8-9,4.2921
2018-8-10,4.6215
2018-8-11,4.6305
2018-8-12,4.8022
2018-8-13,4.4998
2018-8-14,4.4343
2018-8-15,4.2974
2018-8-16,4.3613
2018-8-17,4.3588
2018-8-18,4.5768
2018-8-19,4.6883
2018-8-20,4.5177
2018-8-21,4.355
2018-8-22,4.1524
2018-8-23,4.1295
2018-8-24,3.777
2018-8-25,3.8897
2018-8-26,3.9332
2018-8-27,3.9399
2018-8-28,4.1962
2018-8-29,4.0847
2018-8-30,4.1164
2018-8-31,3.8985
2018-9-1,4.0843
2018-9-2,3.946
2018-9-3,4.0987
2018-9-4,4.4048
2018-9-5,4.5896
2018-9-6,4.5075
2018-9-7,4.4216
2018-9-8,4.7612
2018-9-9,4.5921
2018-9-10,4.8985
2018-9-11,5.3175
2018-9-12,5.47
2018-9-13,5.3508
2018-9-14,5.7456
2018-9-15,5.7545
2018-9-16,6.0071
2018-9-17,6.2506
2018-9-18,6.1443
2018-9-19,5.989
2018-9-20,6.2314
2018-9-21,6.4965
2018-9-22,6.0133
2018-9-23,6.3404
2018-9-24,6.3787
2018-9-25,6.4634
2018-9-26,6.5659
2018-9-27,6.3122
2018-9-28,6.3698
2018-9-29,6.4965
2018-9-30,5.9928
2018-10-1,5.6649
2018-10-2,5.8481
2018-10-3,5.9455
2018-10-4,6.6197
2018-10-5,6.321
2018-10-6,6.2301
2018-10-7,5.9866
2018-10-8,5.8866
2018-10-9,5.7521
2018-10-10,6.1058
2018-10-11,6.1877
2018-10-12,6.5312
2018-10-13,6.6619
2018-10-14,6.3814
2018-10-15,6.3223
2018-10-16,6.5992
2018-10-17,6.8146
2018-10-18,6.4568
2018-10-19,6.4108
2018-10-20,6.4184
2018-10-21,6.3622
2018-10-22,6.5493
2018-10-23,6.476
2018-10-24,6.6068
2018-10-25,6.4788
2018-10-26,6.3698
2018-10-27,6.1186
2018-10-28,5.8994
2018-10-29,5.9851
2018-10-30,5.6429
2018-10-31,5.6649
2018-11-1,5.506
2018-11-2,5.2356
2018-11-3,5.7366
2018-11-4,5.8954
2018-11-5,6.1057
2018-11-6,6.0724
2018-11-7,6.0864
2018-11-8,5.9544
2018-11-9,5.9865
2018-11-10,5.7474
2018-11-11,6.1339
2018-11-12,6.2134
2018-11-13,6.6414
2018-11-14,6.4031
2018-11-15,6.2621
2018-11-16,6.3301
2018-11-17,6.1929
2018-11-18,6.4017
2018-11-19,6.7198
2018-11-20,6.8145
2018-11-21,6.7402
2018-11-22,6.7978
2018-11-23,7.0374
2018-11-24,7.3091
2018-11-25,7.1541
2018-11-26,6.8056
2018-11-27,6.9477
2018-11-28,7.1426
2018-11-29,7.404
2018-11-30,7.1683
2018-12-1,6.8569
2018-12-2,6.6839
2018-12-3,7.2452
2018-12-4,6.9836
2018-12-5,7.9019
2018-12-6,8.4437
2018-12-7,7.7877
2018-12-8,7.9238
2018-12-9,7.2595
2018-12-10,6.6196
2018-12-11,6.8708
2018-12-12,6.9092
2018-12-13,7.1976
2018-12-14,7.4064
2018-12-15,7.0503
2018-12-16,7.2144
2018-12-17,6.3658
2018-12-18,6.4158
2018-12-19,6.8748
2018-12-20,7.0322
2018-12-21,6.876
2018-12-22,7.6361
2018-12-23,7.5114
2018-12-24,7.2873
2018-12-25,6.8426
2018-12-26,7.2014
2018-12-27,6.8388
2018-12-28,6.6081
2018-12-29,6.5364
2018-12-30,6.4274
2018-12-31,5.8031
